费用类别,费用明细,护理等级,月收费标准(元),日收费标准(元),生效日期,失效日期
床位费,双人间,,2000,67,2023-01-01,
床位费,单人间,,3000,100,2023-01-01,
床位费,四人间,,1500,50,2023-01-01,
护理费,自理,自理,2000,67,2023-01-01,
护理费,半护理,半护理,3500,117,2023-01-01,
护理费,全护理,全护理,5000,167,2023-01-01,
护理费,特护,特护,8000,267,2023-01-01,
餐费,普食,,1500,50,2023-01-01,
餐费,软食,,1500,50,2023-01-01,
餐费,半流食,,1600,53,2023-01-01,
餐费,流食,,1800,60,2023-01-01,
医疗费,雾化治疗,,80,80,2023-01-01,
医疗费,换药,,50,50,2023-01-01,
医疗费,陪同就医,,200,200,2023-01-01,
额外服务,理发服务,,30,30,2023-01-01,
额外服务,助浴服务,,100,100,2023-01-01,
额外服务,康复训练,,150,150,2023-01-01,
