日期,餐次,菜品名称,食材清单,营养标签,适合饮食类型,热量(千卡),备注
2024-01-15,早餐,小米粥,小米;水,低盐;低脂,普食;软食;半流食,120,
2024-01-15,早餐,水煮鸡蛋,鸡蛋,高蛋白,普食;软食,70,
2024-01-15,早餐,蒸南瓜,南瓜,低盐;低脂;高纤维,普食;软食;半流食,30,
2024-01-15,午餐,清蒸鱼,鲈鱼;姜;葱,低盐;低脂;高蛋白,普食;软食,180,
2024-01-15,午餐,炒时蔬,西兰花;胡萝卜;蒜,低盐;低脂;高纤维,普食;软食,80,
2024-01-15,午餐,杂粮饭,大米;小米;玉米,低盐;低脂;高纤维,普食;软食,200,糖尿病老人减量
2024-01-15,午餐,紫菜蛋花汤,紫菜;鸡蛋,低盐;低脂;高蛋白,普食;软食;半流食,50,
2024-01-15,晚餐,番茄炖豆腐,番茄;豆腐,低盐;低脂;高蛋白;高纤维,普食;软食,120,
2024-01-15,晚餐,蒸蛋羹,鸡蛋;水,低盐;低脂;高蛋白,普食;软食;半流食;流食,90,
2024-01-15,加餐,酸奶,酸奶,低盐;高蛋白,普食;软食,100,糖尿病老人选无糖
